address_line_1,address_line_2,city,fax,friday_close,friday_open,has_beer_cold_room,has_bilingual_services,has_parking,has_product_consultant,has_special_occasion_permits,has_tasting_bar,has_transit_access,has_vintages_corner,has_wheelchair_accessability,id,inventory_count,inventory_price,inventory_volume_in_milliliters,is_dead,lat,long,monday_close,monday_open,name,postal_code,products_count,saturday_close,saturday_open,store_no,sunday_close,sunday_open,tags,telephone,thursday_close,thursday_open,tuesday_close,tuesday_open,wednesday_close,wednesday_open
932 Gerrard Street East,,Toronto,(416) 466-7518,1260.0,600.0,False,True,True,False,False,False,True,False,False,11,30699,38933991,22788238,False,43.6682,-79.3411,1260.0,600.0,Gerrard & Pape,M4M1Z2,1367,1260.0,600.0,11,1080.0,660.0,gerrard pape 932 street east toronto central toronto-central torontocentral m4m1z2,(416) 466-1209,1260.0,600.0,1260.0,600.0,1260.0,600.0
512 Parliament Street a,,Toronto,(416) 923-5940,1260.0,600.0,False,True,True,False,False,False,True,False,True,12,30296,44969161,22501383,False,43.6655,-79.3687,1260.0,600.0,Parliament and Wellesly,M4X1P4,1262,1260.0,600.0,12,1080.0,660.0,parliament and wellesly 512 street a toronto central toronto-central torontocentral m4x1p4,(416) 923-6966,1260.0,600.0,1260.0,600.0,1260.0,600.0
1145 Danforth Avenue,,Toronto,(416) 466-7243,1320.0,600.0,False,True,True,False,True,True,True,False,True,13,32820,54374993,27019575,False,43.681,-79.3333,1260.0,600.0,Danforth & Greenwood,M4J1M5,1544,1320.0,600.0,13,1080.0,660.0,danforth greenwood 1145 avenue toronto central toronto-central torontocentral m4j1m5,(416) 466-9958,1320.0,600.0,1260.0,600.0,1260.0,600.0
337 Spadina Avenue,,Toronto,(416) 597-3851,1320.0,600.0,False,True,True,False,False,True,True,True,True,14,45715,59627003,33165095,False,43.6548,-79.3985,1320.0,600.0,Spadina & Dundas,M5T2E9,1711,1320.0,600.0,14,1080.0,660.0,spadina dundas 337 avenue toronto central toronto-central torontocentral m5t2e9,(416) 597-0145,1320.0,600.0,1320.0,600.0,1320.0,600.0
232 Dupont Street,,Toronto,(416) 922-8440,1320.0,600.0,False,True,True,True,True,False,True,True,True,15,55359,115266564,40018673,False,43.6753,-79.4057,1320.0,600.0,Dupont & Spadina,M5R1V7,2611,1320.0,600.0,15,1080.0,660.0,dupont spadina 232 street toronto central toronto-central torontocentral m5r1v7,(416) 922-7066,1320.0,600.0,1320.0,600.0,1320.0,600.0
5095 Yonge Street A4,,North York,(416) 226-2890,1320.0,600.0,False,True,False,False,False,False,True,True,True,16,26236,33312777,19101013,False,43.7688,-79.4125,1320.0,600.0,Yonge & Empress,M2N6Z4,1061,1320.0,600.0,16,1080.0,660.0,yonge empress 5095 street a4 toronto north toronto-north torontonorth york m2n6z4,(416) 226-3949,1320.0,600.0,1320.0,600.0,1320.0,600.0
222 Front Street East,,Toronto,(416) 214-9291,1320.0,600.0,False,True,False,True,False,False,True,True,True,17,56257,92183141,40855462,False,43.6512,-79.3649,1320.0,600.0,Front & Sherbourne,M5A1E7,2617,1320.0,600.0,17,1080.0,660.0,front sherbourne 222 street east toronto central toronto-central torontocentral m5a1e7,(416) 214-0311,1320.0,600.0,1320.0,600.0,1320.0,600.0
"85 Hanna Avenue, Unit 103",,Toronto,(416) 538-9500,1320.0,570.0,False,True,True,True,False,False,True,True,True,18,51233,81282659,37833599,False,43.6399,-79.4199,1260.0,570.0,King & Dufferin,M6K3S3,2306,1320.0,570.0,18,1080.0,660.0,king dufferin 85 hanna avenue unit 103 toronto central toronto-central torontocentral m6k3s3,(416) 538-9200,1320.0,570.0,1320.0,570.0,1320.0,570.0
2151 St. Clair Ave. W.,,Toronto,(416) 653-8850,1260.0,600.0,True,True,True,True,False,False,True,True,True,19,59379,102534983,46185428,False,43.6705,-79.4729,1260.0,600.0,St Clair & Keele,M5N1K5,2934,1260.0,600.0,19,1080.0,660.0,st clair keele 2151 ave w toronto central toronto-central torontocentral m5n1k5,(416) 653-8202,1260.0,600.0,1260.0,600.0,1260.0,600.0
2762 Lake Shore Boulevard West,,Etobicoke,(416) 251-4236,1260.0,600.0,False,True,True,False,True,True,True,False,True,20,45341,52445270,34800598,False,43.6023,-79.4993,1260.0,600.0,Lake Shore & Islington,M8V1H1,1820,1260.0,600.0,20,1080.0,660.0,lake shore islington 2762 boulevard west toronto etobicoke toronto-etobicoke torontoetobicoke m8v1h1,(416) 251-2021,1260.0,600.0,1260.0,600.0,1260.0,600.0
737 Golf Links Road,Meadowlands Centre,Ancaster,(905) 304-9611,1320.0,600.0,False,False,True,True,True,False,True,True,True,21,56582,102603709,47593152,False,43.2262,-79.955,1320.0,600.0,Golf Links & Hwy 403,L9K1L5,2934,1320.0,600.0,21,1080.0,660.0,golf links hwy 403 737 road meadowlands centre ancaster l9k1l5,(905) 304-9608,1320.0,600.0,1320.0,600.0,1320.0,600.0
461 Big Bay Point Road,,Barrie,(705) 739-8507,1260.0,600.0,False,False,True,True,True,False,True,True,True,22,62220,95149920,51887633,False,44.356,-79.6508,1260.0,600.0,Big Bay Point Rd & Yonge,L4N3Z3,3010,1260.0,600.0,22,1080.0,660.0,big bay point rd yonge 461 road barrie l4n3z3,(705) 739-0162,1260.0,600.0,1260.0,600.0,1260.0,600.0
1149 Barton Street East,Centre Mall,Hamilton,(905) 544-3555,1320.0,570.0,True,True,True,True,True,True,True,True,True,23,62735,87093250,48088422,False,43.2518,-79.8133,1320.0,570.0,Barton & Kenilworth,L8H2V2,2758,1320.0,570.0,23,1080.0,660.0,barton kenilworth 1149 street east centre mall hamilton l8h2v2,(905) 544-8010,1320.0,570.0,1320.0,570.0,1320.0,570.0
144 Clarence Street,,Port Colborne,(905) 834-3399,1200.0,600.0,False,True,True,False,True,False,False,False,False,24,17120,26248712,15924620,False,42.886,-79.2551,1080.0,600.0,Clarence & Elm Street,L3K3G5,1083,1080.0,600.0,24,1080.0,660.0,clarence elm street 144 port colborne l3k3g5,(905) 834-4643,1080.0,600.0,1080.0,600.0,1080.0,600.0
119 Osler Drive,Unit 13A,Dundas,(905) 628-4040,1320.0,570.0,False,False,True,True,True,True,True,True,True,25,58157,90390367,46610127,False,43.2579,-79.9412,1320.0,570.0,Osler and Main West,L9H6X4,2956,1320.0,570.0,25,1080.0,660.0,osler and main west 119 drive unit 13a dundas l9h6x4,(905) 628-2042,1320.0,570.0,1320.0,570.0,1320.0,570.0
71 York Street,,London,(519) 432-3768,1260.0,600.0,False,True,True,True,True,True,True,True,True,26,59163,90600508,45783090,False,42.9802,-81.2518,1080.0,600.0,York & Ridout,N6A1A6,2529,1080.0,600.0,26,1080.0,660.0,york ridout 71 street london n6a1a6,(519) 432-1831,1080.0,600.0,1080.0,600.0,1080.0,600.0
900 Oxford Street East,Bellwood Plaza,London,(519) 451-8093,1260.0,600.0,False,True,True,False,True,True,True,True,True,27,40630,55373345,34266213,False,43.0035,-81.2271,1260.0,600.0,Oxford Street East & Gammage Street,N5Y5A1,1940,1260.0,600.0,27,1080.0,660.0,oxford street east gammage 900 bellwood plaza london n5y5a1,(519) 451-7143,1260.0,600.0,1260.0,600.0,1260.0,600.0
222 Broad Street East,,Dunnville,(905) 774-3123,1260.0,600.0,False,False,True,False,True,True,True,False,True,28,15868,23321647,14501149,False,42.9035,-79.6152,1080.0,600.0,Broad & Maple Street,N1A1G2,961,1080.0,600.0,28,1080.0,660.0,broad maple street 222 east dunnville n1a1g2,(905) 774-5312,1080.0,600.0,1080.0,600.0,1080.0,600.0
415 William Street,Box 190,Wiarton,(519) 534-3274,1260.0,600.0,False,False,True,False,True,True,False,False,True,29,15458,23061151,13368112,False,44.7435,-81.1386,1080.0,600.0,William & Claude,N0H2T0,1090,1080.0,600.0,29,1080.0,660.0,william claude 415 street box 190 wiarton n0h2t0,(519) 534-1170,1080.0,600.0,1080.0,600.0,1080.0,600.0
3 Victoria Street North,P.O. Box 307,Walkerton,(519) 881-1588,1260.0,600.0,False,False,True,False,True,False,False,False,True,30,9215,14036911,7168061,False,44.1338,-81.1472,1080.0,600.0,Victoria & Durham Street,N0G2V0,774,1080.0,600.0,30,1080.0,660.0,victoria durham street 3 north po box 307 walkerton n0g2v0,(519) 881-1362,1080.0,600.0,1080.0,600.0,1080.0,600.0
1 First Street,,Collingwood,(705) 445-9945,1320.0,600.0,True,False,True,True,True,True,False,True,True,31,82120,143571261,63613096,False,44.5028,-80.2182,1260.0,600.0,First & Pine,L9Y1A1,3385,1320.0,600.0,31,1080.0,660.0,first pine 1 street collingwood l9y1a1,(705) 445-3341,1260.0,600.0,1260.0,600.0,1260.0,600.0
400 University Avenue West,,Windsor,(519) 253-2029,1320.0,600.0,False,True,True,False,True,False,True,False,True,32,34190,48155432,26070303,False,42.3166,-83.0434,1320.0,600.0,University & Church,N9A5P8,1525,1320.0,600.0,32,1080.0,660.0,university church 400 avenue west windsor n9a5p8,(519) 253-2221,1320.0,600.0,1320.0,600.0,1320.0,600.0
7481 Oakwood Drive,,Niagara Falls,(905) 354-7509,1260.0,600.0,True,False,True,False,True,True,False,True,True,33,42468,65719147,36779777,False,43.066,-79.1211,1260.0,600.0,Mcleod & Qew,L2E6S5,2135,1260.0,600.0,33,1080.0,660.0,mcleod qew 7481 oakwood drive niagara falls l2e6s5,(905) 354-7621,1260.0,600.0,1260.0,600.0,1260.0,600.0
1320 Walker Road,,Windsor,(519) 254-1291,1260.0,600.0,False,True,True,False,True,True,True,False,True,34,37796,54800767,30459718,False,42.3136,-83.0012,1260.0,600.0,Walker & Ottawa,N8Y4T9,1905,1260.0,600.0,34,1080.0,660.0,walker ottawa 1320 road windsor n8y4t9,(519) 254-1543,1260.0,600.0,1260.0,600.0,1260.0,600.0
879 Lansdowne Street West,,Peterborough,(705) 743-9936,1320.0,570.0,False,False,True,True,True,True,True,True,True,35,54038,88112877,42605516,False,44.2823,-78.3395,1320.0,570.0,Lansdowne West & Parkway,K9J1Z5,2691,1320.0,570.0,35,1080.0,660.0,lansdowne west parkway 879 street peterborough k9j1z5,(705) 743-9955,1320.0,570.0,1320.0,570.0,1320.0,570.0
457 Hazeldean Rd.,Unit 10,Kanata,(613) 836-7544,1320.0,570.0,False,True,True,True,True,True,True,True,True,36,70813,101651674,56220239,False,45.3002,-75.8874,1320.0,570.0,Hazeldean & Castlefrank,K2L1V1,2864,1320.0,570.0,36,1080.0,660.0,hazeldean castlefrank 457 rd unit 10 ottawa kanata ottawa-kanata ottawakanata k2l1v1,(613) 592-5416,1320.0,570.0,1320.0,570.0,1320.0,570.0
640 Bank Street,,Ottawa,(613) 234-8481,1260.0,600.0,False,True,True,False,True,True,True,True,True,37,0,0,0,True,45.4063,-75.6905,1260.0,600.0,Bank & Queensway,K1S3Z8,0,1260.0,600.0,37,1020.0,720.0,bank queensway 640 street ottawa k1s3z8,(613) 234-7064,1260.0,600.0,1260.0,600.0,1260.0,600.0
275 Rideau Street,Corner of King Edward and Rideau St,Ottawa,(613) 241-7453,1320.0,570.0,False,True,True,True,True,True,True,True,True,38,116645,290359875,90652760,False,45.4288,-75.6863,1320.0,570.0,Rideau & King Edward,K1N5Y3,4434,1320.0,570.0,38,1080.0,660.0,rideau king edward 275 street corner of and st ottawa k1n5y3,(613) 789-5226,1320.0,570.0,1320.0,570.0,1320.0,570.0
63 Albert Street,,Cobourg,(905) 372-1665,1200.0,570.0,False,False,True,False,False,True,True,False,True,39,20973,29268383,17119855,False,43.9585,-78.1677,1080.0,570.0,3Rd & Albert Street,K9A2P8,1193,1080.0,570.0,39,1080.0,660.0,3rd albert street 63 cobourg k9a2p8,(905) 372-7932,1080.0,570.0,1080.0,570.0,1080.0,570.0
34 Barrack Street,,Kingston,(613) 549-1153,1320.0,570.0,False,True,True,True,True,True,True,True,True,40,73269,119434157,57728758,False,44.233,-76.4807,1320.0,570.0,Barrack & King,K7K7A9,3185,1320.0,570.0,40,1080.0,660.0,barrack king 34 street kingston k7k7a9,(613) 549-5092,1320.0,570.0,1320.0,570.0,1320.0,570.0
665 Industrial Avenue,The Trainyards,Ottawa,(613) 738-7880,1260.0,570.0,True,True,True,False,False,True,True,True,True,41,43371,74737617,35544702,False,45.4113,-75.6415,1260.0,570.0,Industrial & St Laurent,K1G0Z1,2286,1260.0,570.0,41,1080.0,660.0,industrial st laurent 665 avenue the trainyards ottawa k1g0z1,(613) 738-0937,1260.0,570.0,1260.0,570.0,1260.0,570.0
179 King Street West,,Brockville,(613) 342-9063,1260.0,570.0,False,False,True,False,True,False,True,False,True,42,11859,16498193,9849994,False,44.5876,-75.6878,1080.0,570.0,King & John Street,K6V3R6,850,1080.0,570.0,42,1080.0,660.0,king john street 179 west brockville k6v3r6,(613) 342-2202,1080.0,570.0,1080.0,570.0,1080.0,570.0
6-607 King Street West,King's Crossing Plaza,Kitchener,(519) 743-0088,1080.0,600.0,False,False,True,False,True,False,True,False,True,43,25373,33040023,18883860,False,43.4534,-80.5013,1080.0,600.0,King & Wellington,N2G1C7,1331,1080.0,600.0,43,,,king wellington 6 607 6-607 6607 street west king's kings crossing plaza kitchener n2g1c7,(519) 743-7551,1080.0,600.0,1080.0,600.0,1080.0,600.0
50 Market Street South,,Brantford,(519) 753-3519,1320.0,570.0,False,False,True,True,True,True,True,True,True,44,57123,83404822,48170832,False,43.1355,-80.2617,1320.0,570.0,Market South & Icomm,N3S2E3,2633,1320.0,570.0,44,1080.0,660.0,market south icomm 50 street brantford n3s2e3,(519) 753-0541,1320.0,570.0,1320.0,570.0,1320.0,570.0
196 Sherbrooke Street,,Peterborough,(705) 745-4749,1260.0,570.0,False,False,True,False,True,True,True,True,True,45,40162,54347675,32292314,False,44.301,-78.3213,1200.0,570.0,Sherbrooke & George,K9J2N3,1477,1260.0,570.0,45,1080.0,660.0,sherbrooke george 196 street peterborough k9j2n3,(705) 745-1333,1260.0,570.0,1200.0,570.0,1200.0,570.0
250 North Christina Street,,Sarnia,(519) 337-2631,1080.0,600.0,False,False,False,False,True,False,True,False,False,46,17274,20825920,13836209,False,42.9754,-82.4057,1080.0,600.0,Christina & George Street,N7T7V3,885,1080.0,600.0,46,1080.0,660.0,christina george street 250 north sarnia n7t7v3,(519) 337-2631,1080.0,600.0,1080.0,600.0,1080.0,600.0
189 King Street East,,St. Catharines,(905) 682-7886,1260.0,600.0,False,False,True,False,True,False,True,False,False,47,31323,39522633,23554604,False,43.1616,-79.2436,1260.0,600.0,King & Academy,L2R3J5,1482,1260.0,600.0,47,1080.0,660.0,king academy 189 street east st catharines l2r3j5,(905) 682-5801,1260.0,600.0,1260.0,600.0,1260.0,600.0
4694 Victoria Avenue,,Niagara Falls,(905) 358-7771,1200.0,600.0,False,False,True,False,True,False,True,False,True,48,24934,36024688,19704055,False,43.1062,-79.0731,1080.0,600.0,Victoria & Valley Way,L2E4B9,1201,1200.0,600.0,48,1080.0,660.0,victoria valley way 4694 avenue niagara falls l2e4b9,(905) 358-8532,1200.0,600.0,1080.0,600.0,1080.0,600.0
1315-B Second Street,,Cornwall,(613) 932-0178,1260.0,570.0,True,True,True,False,True,True,True,True,True,49,30817,43383493,24444692,False,45.025,-74.705,1200.0,570.0,Second St and Glengarry Blvd,K6H7C4,1645,1260.0,570.0,49,1080.0,660.0,second st and glengarry blvd 1315 b 1315-b 1315b street cornwall k6h7c4,(613) 932-1950,1260.0,570.0,1200.0,570.0,1200.0,570.0
190 Cedar Street,,Sudbury,(705) 673-2316,1260.0,600.0,False,True,True,False,True,True,True,False,True,50,24379,30921131,18816768,False,46.4926,-80.9908,1080.0,600.0,Elm & Paris Street,P3E1B4,1496,1080.0,600.0,50,1080.0,660.0,elm paris street 190 cedar sudbury downtown sudbury-downtown sudburydowntown p3e1b4,(705) 675-5391,1260.0,600.0,1080.0,600.0,1080.0,600.0
16 Wellington St West -Building B,,Guelph,(519) 822-7524,1260.0,600.0,True,False,True,True,False,True,True,True,True,51,45166,65975969,34491709,False,43.5461,-80.2482,1260.0,600.0,Wellington & Gordon,N1H3R9,2449,1260.0,600.0,51,1080.0,660.0,wellington gordon 16 st west  building -building b guelph n1h3r9,(519) 822-4831,1260.0,600.0,1260.0,600.0,1260.0,600.0
815 Ontario Road,Rose City Plaza,Welland,(905) 734-1419,1200.0,600.0,False,True,True,False,True,False,True,False,False,52,21390,27847090,18689807,False,42.9761,-79.2397,1080.0,600.0,Ontario & Southworth,L3B5V6,1137,1080.0,600.0,52,1080.0,660.0,ontario southworth 815 road rose city plaza welland l3b5v6,(905) 734-3132,1080.0,600.0,1080.0,600.0,1080.0,600.0
52 Queen Street,Unit 6,Cookstown,(705) 458-0613,1200.0,600.0,False,False,True,False,False,False,False,False,True,53,15027,18149754,12066662,False,44.189,-79.7089,1200.0,600.0,Queen & King,L0L1L0,880,1080.0,600.0,53,1080.0,660.0,queen king 52 street unit 6 cookstown l0l1l0,(705) 458-0692,1200.0,600.0,1200.0,600.0,1200.0,600.0
186 Worthington Street West,,North Bay,(705) 494-4522,1080.0,600.0,False,True,True,False,True,False,True,False,True,54,21900,28250127,18343588,False,46.3129,-79.4629,1080.0,600.0,Worthington & Fraser Street,P1B3B2,1182,1080.0,600.0,54,1080.0,660.0,worthington fraser street 186 west north bay p1b3b2,(705) 494-4065,1080.0,600.0,1080.0,600.0,1080.0,600.0
1050 Pembroke Street East,,Pembroke,(613) 732-5663,1200.0,570.0,True,True,True,False,True,True,False,True,True,55,39408,61509745,31753870,False,45.8211,-77.0841,1200.0,570.0,Pembroke Street East & Angus Campbell Dr,K8A6Z3,2221,1200.0,570.0,55,1080.0,660.0,pembroke street east angus campbell dr 1050 k8a6z3,(613) 732-2878,1200.0,570.0,1200.0,570.0,1200.0,570.0
325 King Street West,P.O. Box #677,Prescott,(613) 925-5275,1260.0,570.0,False,False,True,False,True,False,False,True,True,56,18268,26434962,15547017,False,44.7078,-75.5164,1080.0,570.0,Hwy. 401 & 2,K0E1T0,1161,1080.0,570.0,56,1080.0,660.0,hwy 401 2 325 king street west po box #677 prescott k0e1t0,(613) 925-2702,1080.0,570.0,1080.0,570.0,1080.0,570.0
190A Bell Boulevard,,Belleville,(613) 962-3688,1320.0,570.0,True,False,True,True,True,True,True,True,True,57,57118,93780819,48118432,False,44.1872,-77.4049,1320.0,570.0,Bell & North Front,K8P5L2,2739,1320.0,570.0,57,1080.0,660.0,bell north front 190a boulevard belleville k8p5l2,(613) 962-2132,1320.0,570.0,1320.0,570.0,1320.0,570.0
100 Waterloo Road,Hollinger Court,Timmins,(705) 267-5161,1290.0,600.0,True,True,True,False,True,True,True,True,True,58,43599,67643688,36846153,False,48.4779,-81.3371,1290.0,600.0,Waterloo & Algonquin,P4N4X5,2087,1290.0,600.0,58,1080.0,660.0,waterloo algonquin 100 road hollinger court timmins p4n4x5,(705) 268-4600,1290.0,600.0,1290.0,600.0,1290.0,600.0
55 Mary Street,,Barrie,(705) 728-2310,1200.0,600.0,False,False,True,False,True,False,True,False,True,59,55407,69090740,45406742,False,44.3889,-79.6924,1080.0,600.0,Mary & Dunlop,L4N1T2,1583,1080.0,600.0,59,1080.0,660.0,mary dunlop 55 street barrie l4n1t2,(705) 728-3868,1080.0,600.0,1080.0,600.0,1080.0,600.0
91 Wellington Street,,Stratford,(519) 271-5205,1260.0,600.0,False,False,True,True,True,False,True,True,True,60,41738,64397608,33512074,False,43.369,-80.9833,1260.0,600.0,Wellington & St. Patrick,N5A2L3,1990,1260.0,600.0,60,1080.0,660.0,wellington st patrick 91 street stratford n5a2l3,(519) 271-1343,1260.0,600.0,1260.0,600.0,1260.0,600.0
210 Wellington Street West,,Chatham,(519) 354-8093,1200.0,600.0,False,False,True,False,True,True,True,True,True,61,31232,46625761,26347319,False,42.4039,-82.1881,1080.0,600.0,Wellington & Raleigh,N7M1J6,1341,1200.0,600.0,61,1080.0,660.0,wellington raleigh 210 street west chatham n7m1j6,(519) 354-3790,1200.0,600.0,1080.0,600.0,1080.0,600.0
30 - 1010 Talbot Street,,St. Thomas,(519) 631-7520,1260.0,600.0,False,False,True,False,True,True,True,True,True,62,33787,52108786,29156053,False,42.778,-81.177,1260.0,600.0,First & Talbot Street,N5P4N2,1798,1260.0,600.0,62,1080.0,660.0,first talbot street 30 -  1010 st thomas n5p4n2,(519) 631-5000,1260.0,600.0,1260.0,600.0,1260.0,600.0
293 Bay Street,Station Mall,Sault Ste. Marie,(705) 256-0741,1260.0,570.0,False,True,True,False,True,False,True,True,True,63,40102,56917675,32758084,False,46.5121,-84.3381,1260.0,570.0,Bay and Bruce,P6A1X3,1722,1050.0,570.0,63,1020.0,720.0,bay and bruce 293 street station mall sault ste marie p6a1x3,(705) 256-3015,1260.0,570.0,1260.0,570.0,1260.0,570.0
959 Dundas Street,,Woodstock,(519) 539-5364,1260.0,600.0,False,False,True,False,True,False,True,True,True,64,45339,67683487,38333610,False,43.1345,-80.7321,1260.0,600.0,Dundas & Springbank,N4S1H2,2253,1260.0,600.0,64,1080.0,660.0,dundas springbank 959 street woodstock n4s1h2,(519) 537-3311,1260.0,600.0,1260.0,600.0,1260.0,600.0
150 Front Street,,Trenton,(613) 392-1438,1320.0,570.0,True,False,True,True,True,False,True,True,True,65,48502,81221240,39903164,False,44.1033,-77.5792,1320.0,570.0,Front & Division,K8V4N8,2589,1320.0,570.0,65,1080.0,660.0,front division 150 street trenton k8v4n8,(613) 392-3797,1320.0,570.0,1320.0,570.0,1320.0,570.0
137 Fourth Street,P.O. Box 1060,Cochrane,(705) 272-3263,1200.0,600.0,False,True,True,False,True,False,False,True,True,66,11623,18087526,9857238,False,49.0638,-81.0273,1080.0,600.0,4Th Street & 5Th Avenue,P0L1C0,713,1080.0,600.0,66,,,4th street 5th avenue 137 fourth po box 1060 cochrane p0l1c0,(705) 272-3263,1080.0,600.0,1080.0,600.0,1080.0,600.0
316 Broadway Street,P.O. Box 682,Haileybury,(705) 672-3747,1260.0,600.0,True,True,True,False,True,False,True,False,True,67,9825,14621436,11015542,False,47.4496,-79.6319,1080.0,600.0,Lakeshore & Broadway,P0J1K0,729,1080.0,600.0,67,1080.0,660.0,lakeshore broadway 316 street po box 682 haileybury p0j1k0,(705) 672-3747,1080.0,600.0,1080.0,600.0,1080.0,600.0
546 Park Street,Kenora Shoppers Mall,Kenora,(807) 468-7549,1260.0,600.0,False,False,True,False,True,True,True,True,True,68,39286,66541291,31990070,False,49.7677,-94.4824,1080.0,600.0,Park & Railway Street,P9N1A1,2090,1080.0,600.0,68,1080.0,660.0,park railway street 546 kenora shoppers mall p9n1a1,(807) 468-8022,1200.0,600.0,1080.0,600.0,1080.0,600.0
210 Third Street East,,Fort Frances,(807) 274-1159,1260.0,600.0,False,False,True,False,True,False,False,True,True,69,17103,26261328,13987669,False,48.6129,-93.3985,1080.0,600.0,Third & Mowat Street,P9A1P7,1057,1080.0,600.0,69,1080.0,660.0,third mowat street 210 east fort frances p9a1p7,(807) 274-3851,1080.0,600.0,1080.0,600.0,1080.0,600.0
123 Lombard Street,,Smiths Falls,(613) 283-9118,1260.0,570.0,False,False,True,False,True,False,False,True,True,70,34667,52868842,29217684,False,44.8907,-76.0307,1200.0,570.0,Lombard St & Ferrara Dr,K7A5B8,2021,1200.0,570.0,70,1080.0,660.0,lombard st ferrara dr 123 street smiths falls k7a5b8,(613) 283-2358,1260.0,570.0,1200.0,570.0,1200.0,570.0
